Iteration;Time;BestFitness;LastCalledHeur;IsRelay;NumOfMoves-LLH0;NumOfMoves-LLH1;NumOfMoves-LLH2;NumOfMoves-LLH3;NumOfMoves-LLH4;NumOfMoves-LLH5;NumOfMoves-LLH6;LAProb-LLH0;LAProb-LLH1;LAProb-LLH2;LAProb-LLH3;LAProb-LLH4;LAProb-LLH5;LAProb-LLH6;
46500;5,484;-39,0;-1;-1;1611;1291;6642;134;11934;25069;52;0,002341826301284197;0,0061620652850801405;0;2,3949468460760537E-4;0;0,9907601003084741;4,965134205540433E-4
48000;5,56;-41,0;-1;-1;1618;1298;6642;134;11934;26553;54;0,002565754032796457;0,00674445687701692;0;0;0;0,9906897890901867;0
49000;5,604;-43,0;-1;-1;1620;1306;6642;134;11934;27543;54;0,0026571489650974297;0,006957299359765374;0;0;0;0,9903855516751372;0
50000;5,65;-43,0;-1;-1;1624;1320;6644;136;11937;28532;58;0,002851497496760668;0,007420694610971661;0;0;0;0,9897278078922677;0
51000;5,696;-43,0;-1;-1;1631;1324;6644;136;11937;29521;58;0,003019591074584181;0,007865476479001687;0,01454100023501347;0;0;0,9745739322114007;0
52500;5,763;-43,0;-1;-1;1635;1338;6673;136;11937;30974;58;0,0027551883283659603;0,007132270161413685;0,013237555826055077;0;0,17215638757266263;0,8041586899572614;5,599081542412728E-4
54000;5,829;-39,0;-1;-1;1638;1353;6684;136;12198;32182;60;0,002927102298416427;0,007521970166282743;0;3,031847572837559E-4;0;0,9886781914155239;5,695513624931753E-4
55500;5,896;-39,0;-1;-1;1642;1365;6684;137;12198;33662;63;0;0,008290658907057945;0;3,3628367408706453E-4;0;0,9913730574188551;0
56500;5,939;-33,0;-1;-1;1642;1373;6684;137;12198;34654;63;0;0,007364919567267631;0;3,002574761720638E-4;0;0,9923348229565603;0
57500;5,983;-39,0;-1;-1;1642;1380;6684;137;12198;35647;63;0;0,0071779736574126615;0;2,940094297794566E-4;0;0,9925280169128079;0
58500;6,026;-39,0;-1;-1;1642;1390;6684;138;12198;36636;63;0;0,007494516308162095;0,014316211568895223;0;0;0,9781892721229427;0
59500;6,07;-30,0;-1;-1;1642;1397;6697;138;12198;37616;63;0,0027212514427358285;0,0068190693942852204;0,013053114952114517;0;0;0,9768878443598924;5,187198509720467E-4
61000;6,186;-35,0;-1;-1;1647;1410;6723;140;12204;39085;70;0,013851367075769007;0,034540908336382306;0,06635590460108563;0;0,8827402843143465;0;0,0025115356724166797
