Iteration;Time;BestFitness;LastCalledHeur;IsRelay;NumOfMoves-LLH0;NumOfMoves-LLH1;NumOfMoves-LLH2;NumOfMoves-LLH3;NumOfMoves-LLH4;NumOfMoves-LLH5;NumOfMoves-LLH6;NumOfMoves-LLH7;NumOfMoves-LLH8;LAProb-LLH0;LAProb-LLH1;LAProb-LLH2;LAProb-LLH3;LAProb-LLH4;LAProb-LLH5;LAProb-LLH6;LAProb-LLH7;LAProb-LLH8;
44500;3,893;-41,0;-1;-1;1257;4386;1228;1141;773;32492;51;85;3354;0,06357267670677696;0,6442657344166332;0,045939640237533004;0,07120860443322957;0,17501334420582731;0;0;0;0
46000;3,998;-20,0;-1;-1;1393;5308;1330;1266;988;32492;51;85;3354;0,1542576248760575;0;0,12074091672478769;0,5550198160785319;0,1598289307371214;0;0,010152711583501688;0;0
47500;4,083;-27,0;-1;-1;1859;5308;1400;2114;1099;32492;56;85;3354;0,16852899264107854;0;0,03201214919826134;0,2481044374123824;0;0;0,0029312486822294123;0;0,5484231720660482
49000;4,175;-27,0;-1;-1;2146;5308;1464;2512;1099;32492;61;85;4100;0,20297650691304361;0;0;0,2734785847720669;0;0;0;0,010036980750109477;0,5135079275647799
50500;4,269;-32,0;-1;-1;2537;5308;1464;3020;1099;32492;61;97;4689;0,006206969014572773;0;0;0,007579199277849894;0;0,9778934418855524;0;2,241576410314582E-4;0,008096232180993522
52000;4,373;-37,0;-1;-1;2545;5308;1464;3027;1099;33968;61;97;4698;0,006729113355877704;0,01942648234488968;0;0,008179401987316938;0;0,9568614934906456;0;0;0,00880350882127013
53500;4,477;-37,0;-1;-1;2552;5338;1464;3039;1099;35400;61;97;4717;0,007856922681420435;0,022526675528038446;0;0,009503862017379976;0,002366277330347733;0,9577462624428134;0;0;0
55000;4,584;-36,0;-1;-1;2568;5380;1465;3065;1104;36829;64;99;4718;0,007917220696214857;0;0,0018030083924186757;0,009588954262325438;0,0024275461017641852;0,9780911096083204;1,7216093895638368E-4;0;0
56500;4,692;-36,0;-1;-1;2582;5380;1466;3082;1111;38290;64;99;4718;0,00905772665158505;0;0,0020964275764474047;0,010910086424174336;0;0,9779357593477932;0;0;0
58000;4,793;-33,0;-1;-1;2604;5380;1469;3095;1111;39752;64;99;4718;0,006781820679053491;0;0,0015824341911066886;0,00829212382146913;0;0,9830805302259854;0;2,6309108238522865E-4;0
59500;4,9;-38,0;-1;-1;2615;5380;1471;3105;1111;41228;64;100;4718;0,2528648097960667;0;0,0601219321297221;0,3131313456495299;0;0;0;0,00987605920680017;0,36400585321788126
61000;5,001;-27,0;-1;-1;3016;5380;1544;3439;1111;41228;64;111;5399;0;0,39641558077969935;0,026625536114295207;0,19606976124475076;0;0;0;0;0,38088912186125473
62500;5,089;-36,0;-1;-1;3016;5811;1574;4079;1111;41228;64;111;5798;0;0,06194389392405292;0,015218716281812482;0,8415921479021012;0,007904664804333932;0;0;0;0,07334057708769941
64000;5,182;-39,0;-1;-1;3016;5935;1603;5265;1127;41228;64;111;5943;0;0,44137228553553587;0,09032052002083346;0;0,0476611725803705;0;0,003529156649280033;0;0,4171168652139801
65500;5,273;-32,0;-1;-1;3016;6473;1718;5265;1463;41228;69;111;6449;0;0;0,002720117884292911;0;0,2510394073043161;0,7318443298229014;1,2141537059309912E-4;0;0,014274729617896414
