Iteration;Time;QI-0;QI-1;QI-2;QI-3;QI-4;QI-5;QI-6;QI-7;QI-8;
2138;0,879;5;6;4;3;7;9;2;1;8
3638;1,0;3;4;1;1;2;5;1;1;1
5191;1,104;4;2;1;1;1;3;1;1;1
6691;1,206;2;4;1;1;1;3;1;1;1
8191;1,306;4;3;1;1;2;1;1;1;1
10256;1,557;7;3;4;8;5;1;6;2;1
11756;1,701;1;1;6;4;5;1;3;1;2
13256;1,783;1;1;4;3;2;1;1;1;1
14756;1,914;1;1;4;3;1;1;1;1;2
16296;2,039;1;1;4;1;3;1;1;1;2
17796;2,116;1;6;3;5;2;4;1;1;1
19796;2,279;5;8;2;3;1;4;6;1;1
21296;2,361;2;3;1;4;1;1;5;1;1
22296;2,4;2;3;1;1;1;1;1;1;1
23318;2,47;2;1;1;3;1;1;1;1;1
24818;2,556;3;4;1;1;1;1;1;1;2
26318;2,648;5;1;6;3;2;1;1;1;4
28318;2,751;1;1;7;2;4;6;5;1;3
29818;2,81;1;1;5;1;3;6;4;1;2
31318;2,871;1;1;3;1;2;4;1;1;1
32846;2,956;1;1;3;1;2;4;1;1;1
34346;3,029;1;4;2;1;5;3;1;1;1
35846;3,096;2;3;5;1;4;6;1;1;1
37346;3,159;1;3;5;1;4;2;6;1;1
38846;3,23;1;2;4;1;3;1;5;1;1
39846;3,28;1;2;3;1;1;1;1;1;1
41346;3,355;1;5;2;1;4;1;1;3;1
42877;3,446;1;4;1;1;3;1;1;2;1
44377;3,516;1;3;5;2;4;1;1;1;1
45877;3,577;1;2;4;1;3;6;5;1;1
47377;3,633;1;2;4;1;3;1;4;1;1
48377;3,692;1;2;3;1;1;1;1;1;1
49877;3,766;1;5;4;1;2;1;1;3;1
51377;4,008;1;2;3;1;4;1;1;1;1
52877;4,091;3;4;5;2;1;1;1;1;1
54405;4,163;1;5;3;2;1;6;4;1;1
55905;4,219;1;5;1;4;1;3;1;1;1
56905;4,257;1;3;1;1;1;2;1;1;1
58405;4,326;1;4;1;3;1;2;1;1;1
59905;4,422;1;5;1;4;3;2;1;1;6
61405;4,513;3;6;1;2;4;1;1;1;5
63405;4,612;1;5;7;2;4;1;6;1;3
64905;4,678;1;3;4;1;1;1;4;1;2
65905;4,723;1;3;2;1;1;1;1;1;1
67435;4,817;1;4;3;1;1;1;1;2;1
68935;4,913;1;5;3;1;1;4;1;1;2
